,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights
0,collagen,0.1034,rfk,0.0544,limbo,0.0480,matter,0.0462,habitat,0.0552,safeti,0.0679,warm,0.0186,climat,0.0204,climat,0.0207,volcan,0.0179
1,cliniqu,0.1031,jr,0.0520,exit,0.0478,money,0.0430,wildlif,0.0511,silli,0.0666,global,0.0186,chang,0.0202,chang,0.0207,erupt,0.0168
2,scream,0.1030,month,0.0459,bill,0.0429,resourc,0.0413,protect,0.0460,mine,0.0592,exit,0.0177,agenc,0.0197,safeti,0.0154,senat,0.0158
3,clinic,0.1003,ago,0.0445,graham,0.0378,better,0.0399,action,0.0354,regul,0.0393,limbo,0.0176,new,0.0184,silli,0.0151,volcano,0.0155
4,trial,0.1003,mean,0.0316,put,0.0360,part,0.0343,help,0.0350,call,0.0301,put,0.0143,form,0.0162,mine,0.0142,iceland,0.0150
5,clip,0.0969,cold,0.0297,climat,0.0221,save,0.0341,#saveterra,0.0319,coal,0.0257,graham,0.0134,feder,0.0158,senat,0.0101,climat,0.0148
6,art,0.0562,dc,0.0286,unveil,0.0217,live,0.0312,take,0.0302,global,0.0181,bill,0.0126,administr,0.0122,regul,0.0101,chang,0.0148
7,chang,0.0150,snow,0.0247,chang,0.0217,believ,0.0256,#climatechange,0.0259,warm,0.0179,climat,0.0108,propos,0.0112,via,0.0098,trigger,0.0143
8,climat,0.0148,global,0.0153,senat,0.0216,global,0.0153,chang,0.0175,effort,0.0150,chang,0.0107,obama,0.0102,peopl,0.0095,compromis,0.0138
9,keep,0.0123,warm,0.0153,talk,0.0183,warm,0.0153,climat,0.0172,well,0.0126,gore,0.0086,studi,0.0099,world,0.0090,global,0.0133
