,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights
0,climat,134.12,global,87.362,global,171.479,global,64.383,climat,65.725,global,65.378,climat,70.921,chang,59.706,climat,51.415,climat,75.656
1,chang,130.114,warm,86.931,warm,169.887,warm,61.638,chang,62.225,warm,63.863,chang,68.96,climat,51.175,global,49.527,chang,74.613
2,via,34.821,snow,64.096,scientist,75.639,climat,33.723,warm,37.421,al,42.406,make,49.356,new,50.537,chang,48.57,confer,49.924
3,believ,31.404,like,47.689,climat,61.453,chang,32.435,via,36.989,day,42.037,energi,44.468,#climate,46.204,warm,46.465,peopl,49.898
4,global,30.757,volcano,36.359,scienc,56.11,come,30.083,global,36.78,gore,39.706,wors,37.89,agenc,39.543,great,44.869,talk,42.278
5,#tcot,29.071,dc,32.482,chang,49.362,know,29.599,news,34.838,one,35.897,allergi,31.913,take,39.003,senat,43.849,world,36.694
6,warm,29.039,storm,30.913,skeptic,32.083,green,27.644,good,31.417,effect,32.429,global,28.056,obama,35.82,bill,42.927,graham,34.482
7,trial,28.01,chang,30.28,un,31.791,tell,25.632,report,30.258,earth,31.801,warm,26.958,warm,33.099,stop,36.502,fight,32.875
8,clinic,28.01,climat,28.833,debat,28.315,caus,24.949,human,30.099,watch,25.111,expert,26.72,feder,30.161,immigr,31.104,bolivia,30.846
9,live,24.626,iceland,25.198,real,25.423,com,24.526,thing,27.797,chang,22.99,public,24.39,global,29.271,tackl,28.307,bill,28.074
