,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights
0,global,3.664,climat,2.644,via,3.045,bill,2.815,new,2.137,snow,2.087,peopl,1.778,scienc,2.427,#climate,2.511,make,1.565
1,warm,3.614,chang,2.530,news,0.584,senat,1.895,agenc,0.851,gore,1.033,world,1.545,scientist,1.948,chang,0.615,wors,1.130
2,caus,0.218,fight,0.196,humanitarian,0.289,graham,1.064,feder,0.627,al,1.007,confer,1.327,debat,0.483,#global,0.469,blizzard,0.825
3,effect,0.174,energi,0.129,india,0.163,immigr,0.771,form,0.506,dc,0.883,earth,1.055,say,0.312,#eco,0.372,time,0.664
4,great,0.165,take,0.112,us,0.139,compromis,0.736,obama,0.425,#tcot,0.793,right,0.729,report,0.245,great,0.208,allergi,0.548
5,stop,0.152,legisl,0.111,polit,0.107,prepar,0.715,report,0.370,mean,0.530,bolivia,0.653,climat,0.192,#p,0.199,snowstorm,0.477
6,volcano,0.146,green,0.106,com,0.105,put,0.665,studi,0.340,storm,0.523,mother,0.576,palin,0.186,us,0.174,get,0.434
7,could,0.142,carbon,0.102,climat,0.097,limbo,0.518,york,0.292,washington,0.382,day,0.545,un,0.177,#green,0.155,c,0.417
8,believ,0.135,u,0.101,need,0.097,exit,0.498,administr,0.283,cold,0.376,indigen,0.306,snake,0.175,take,0.141,blame,0.272
9,like,0.134,nation,0.090,chang,0.095,legisl,0.473,propos,0.256,jr,0.328,summit,0.220,oil,0.171,fact,0.111,season,0.256
