,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights
0,scientist,0.0423,rfk,0.1701,#tcot,0.0549,trial,0.1189,wors,0.1007,york,0.1662,chang,0.0147,warm,0.0145,ocean,0.1206,#globalwarming,0.2008
1,scienc,0.0356,jr,0.1637,#teaparty,0.0278,clinic,0.1189,allergi,0.0552,new,0.0532,climat,0.0145,global,0.0145,intensifi,0.0322,#saveterra,0.1051
2,debat,0.0173,month,0.1161,#gop,0.0248,collagen,0.1133,season,0.0401,fall,0.0217,via,0.0066,snow,0.0046,show,0.0232,fact,0.0772
3,art,0.0095,ago,0.1131,#tlot,0.0228,scream,0.0927,make,0.0370,citi,0.0215,bill,0.0048,gore,0.0035,rise,0.0228,tell,0.0765
4,climat,0.0093,mean,0.0667,#ocra,0.0215,cliniqu,0.0869,blizzard,0.0360,commun,0.0154,senat,0.0036,volcano,0.0035,faster,0.0208,get,0.0407
5,warm,0.0091,cold,0.0636,disprov,0.0207,clip,0.0781,snowstorm,0.0253,weather,0.0147,energi,0.0036,caus,0.0034,water,0.0151,movement,0.0155
6,global,0.0090,dc,0.0558,#p,0.0181,art,0.0396,ever,0.0232,check,0.0143,u,0.0034,believ,0.0033,impact,0.0147,support,0.0137
7,chang,0.0068,snow,0.0362,#climategate,0.0117,chang,0.0104,time,0.0226,big,0.0116,new,0.0034,al,0.0031,carbon,0.0125,next,0.0107
8,say,0.0059,f,0.0161,warm,0.0094,climat,0.0102,c,0.0223,scam,0.0114,fight,0.0034,could,0.0030,nation,0.0117,say,0.0076
9,heat,0.0056,washington,0.0141,global,0.0093,day,0.0099,blame,0.0185,go,0.0096,immigr,0.0034,storm,0.0030,year,0.0115,chang,0.0068
